Producto;Posición de la cesta;Cantidad;Fecha de entrega;Mercado;Características;Nota interna;Tipo de Multi-imputación;% Cantidad, Valor de Multi-imputación;Tipo de imputación;Elemento de imputación;Cuenta de mayor;Indicador de IVA;Documento presupuestario ;Contrato;Tangible/intangible;Aprobadores;Almacen;Texto Proveedor;CLIENTE
165052;1;40;;;;;;;;;;;;;;;;SERVICIO DIRECCION DE PROYECTO;ES334500
165023;2;3;;;;;;;;;;;;;;;;TOMA DE DATOS SIMPLE;ES334500
181871;3;1;;;;;;;;;;;;;;;;PJT LEGA. ACTI./INST. PJT CMPT INSTALA.;ES334500
165027;4;1;;;;;;;;;;;;;;;;PROYECTO OFICIAL. MEDIO;ES334500
165031;5;1;;;;;;;;;;;;;;;;INGENIERIA DE DETALLE. MEDIO;ES334500
181825;6;1;;;;;;;;;;;;;;;;CFO PROYECTO COMPLEJO;ES334500
181874;7;1;;;;;;;;;;;;;;;;OBT. AYTO DE LICENCIA PJT CMPT INSTALA.;ES334500
181874;8;1;;;;;;;;;;;;;;;;OBT. AYTO DE LICENCIA PJT CMPT INSTALA.;ES334500
165042;9;1;;;;;;;;;;;;;;;;ESTUDIO OBTENCION CERTIF. COMP URBANIST;ES334500
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
